,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2-R0 Future
108167,2023-10-02 19:00:00 EDT,100.65,102.04,15,10,67,13.9,20,ERROR,24100,3,54,22.4,20,2.72E-15,3.21E-02,9.81E-15
108227,2023-10-02 20:00:00 EDT,100.64,102.03,17,8,70,14.1,19.6,ERROR,24100,2,0,20.5,19.4,3.01E-15,3.12E-02,1.49E-02
108287,2023-10-02 21:00:00 EDT,100.62,102.01,19,10,74,14.2,18.9,ERROR,24100,1,0,19.8,18.7,1.38E-15,4.98E-02,
108347,2023-10-02 22:00:00 EDT,100.61,101.99,20,13,80,15.3,18.9,ERROR,24100,0,0,19.1,18.7,2.73E-15,3.26E-02,
108407,2023-10-02 23:00:00 EDT,100.59,101.97,21,14,83,15.7,18.6,ERROR,24100,1,0,19,18.4,2.50E-15,3.39E-02,
108467,2023-10-03 00:00:00 EDT,100.6,101.98,21,16,85,16,18.6,ERROR,24100,4,0,18.6,18.3,2.12E-15,3.75E-02,
108527,2023-10-03 01:00:00 EDT,100.6,101.98,24,10,92,16.1,17.4,ERROR,24100,3,0,18.5,17.1,2.60E-15,3.42E-02,
108587,2023-10-03 02:00:00 EDT,100.6,101.98,20,9,97,15.7,16.2,ERROR,24100,2,0,17.4,16.2,4.66E-15,2.41E-02,
108647,2023-10-03 03:00:00 EDT,100.57,101.95,20,10,97,15.8,16.2,ERROR,24100,1,0,16.6,15.9,6.05E-15,2.00E-02,
108707,2023-10-03 04:00:00 EDT,100.57,101.95,22,11,99,15.6,15.6,ERROR,24100,0,0,16.2,15.3,4.46E-15,2.40E-02,
108767,2023-10-03 05:00:00 EDT,100.58,101.96,23,13,98,15.4,15.7,ERROR,24100,0,0,15.9,15.6,4.11E-15,2.52E-02,
108827,2023-10-03 06:00:00 EDT,100.6,101.98,22,13,97,15.2,15.6,ERROR,24100,1,0,15.9,15.4,3.23E-15,2.92E-02,
