,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2 Future,R0 Future
265007,2024-01-19 16:00:00 EST,100.15,101.63,30,17,55,-21.8,-14.7,-23,24100,4,570,-13.9,-14.7,4.89E-16,9.12E-02,5.46E-16,8.80E-02
265067,2024-01-19 17:00:00 EST,100.16,101.64,32,20,57,-21.7,-14.9,-24,24100,4,90,-14.6,-15.2,7.47E-16,7.05E-02,,
265127,2024-01-19 18:00:00 EST,100.18,101.67,30,16,61,-22.1,-16.2,-25,24100,5,0,-14.7,-16.2,1.06E-15,5.92E-02,,
265187,2024-01-19 19:00:00 EST,100.18,101.67,28,15,65,-21.4,-16.2,-24,24100,5,0,-16,-16.6,8.07E-16,6.79E-02,,
265247,2024-01-19 20:00:00 EST,100.15,101.64,29,18,67,-21.1,-16.2,-25,24100,7,0,-16.1,-16.4,9.72E-16,7.30E-02,,
265307,2024-01-19 21:00:00 EST,100.15,101.64,30,23,69,-21,-16.5,-27,24100,7,0,-16.2,-16.6,4.81E-16,1.02E-01,,
265367,2024-01-19 22:00:00 EST,100.13,101.62,29,15,72,-20.6,-16.8,-25,24100,6,0,-16.6,-17,8.09E-16,9.03E-02,,
265427,2024-01-19 23:00:00 EST,100.15,101.64,29,10,75,-20.8,-17.4,-24,24100,7,0,-16.7,-17.5,1.07E-15,6.45E-02,,
265487,2024-01-20 00:00:00 EST,100.16,101.65,29,14,74,-21.1,-17.5,-26,24100,7,0,-17.3,-17.8,1.03E-15,6.40E-02,,
265547,2024-01-20 01:00:00 EST,100.1,101.59,29,22,72,-21,-17.1,-27,24100,8,0,-17.1,-17.5,8.25E-16,6.71E-02,,
265607,2024-01-20 02:00:00 EST,100.11,101.59,29,18,72,-20.9,-17,-26,24100,8,0,-16.9,-17.1,9.10E-16,6.67E-02,,
265667,2024-01-20 03:00:00 EST,100.13,101.61,29,21,71,-20.8,-16.8,-27,24100,8,0,-16.8,-17,4.09E-16,1.02E-01,,
