,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2-R0 Future
116627,2023-10-08 16:00:00 EDT,97.96,99.33,22,30,68,4.7,10.4,ERROR,24100,7,545,12.2,9.8,9.24E-16,7.47E-02,2023-10-09 04:00:00 EDT
116687,2023-10-08 17:00:00 EDT,98.01,99.38,23,16,85,6.3,8.6,ERROR,24100,8,123,11.7,8.5,7.25E-16,8.07E-02,1.46E-16
116747,2023-10-08 18:00:00 EDT,98.03,99.4,22,16,73,4.7,9.2,ERROR,24100,8,69,10.4,8.5,1.58E-16,2.02E-01,1.88E-01
116807,2023-10-08 19:00:00 EDT,98.06,99.44,27,30,93,5.2,6.2,ERROR,9700,8,0,9.4,6.2,1.44E-16,1.95E-01,
116867,2023-10-08 20:00:00 EDT,98.15,99.53,23,23,91,3,4.4,ERROR,9700,8,0,8.8,4.4,8.61E-17,2.63E-01,
116927,2023-10-08 21:00:00 EDT,98.2,99.58,22,22,91,3.3,4.6,ERROR,12900,8,0,5.8,4.4,5.83E-17,3.25E-01,
116987,2023-10-08 22:00:00 EDT,98.27,99.65,21,18,92,3.1,4.3,ERROR,16100,8,0,4.6,4.3,5.43E-17,3.42E-01,
117047,2023-10-08 23:00:00 EDT,98.28,99.66,20,22,89,2.8,4.4,ERROR,24100,8,0,4.4,4.3,9.67E-17,2.60E-01,
117107,2023-10-09 00:00:00 EDT,98.31,99.69,20,22,91,3.1,4.6,ERROR,12900,8,0,4.6,4.4,2.59E-16,1.45E-01,
117167,2023-10-09 01:00:00 EDT,98.35,99.73,20,18,90,3.4,4.9,ERROR,12900,8,0,5,4.6,6.00E-16,8.15E-02,
117227,2023-10-09 02:00:00 EDT,98.35,99.73,20,21,85,2.9,5.3,ERROR,24100,8,0,5.3,4.8,2.66E-16,1.32E-01,
117287,2023-10-09 03:00:00 EDT,98.35,99.73,19,21,83,2.8,5.4,ERROR,24100,8,0,5.5,5.2,2.59E-16,1.33E-01,
