,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2 Future,R0 Future
193367,2023-11-30 22:00:00 EST,99.47,100.88,22,9,71,-0.5,4.3,ERROR,24100,5,0,4.6,3.7,2.37E-15,3.64E-02,3.48E-15,2.96E-02
193427,2023-11-30 23:00:00 EST,99.54,100.95,23,11,74,0.2,4.5,ERROR,24100,7,0,4.5,3.2,1.75E-15,4.21E-02,4.20E-15,2.51E-02
193487,2023-12-01 00:00:00 EST,99.62,101.03,22,12,72,0.4,5.1,ERROR,24100,8,0,5.5,4.4,1.64E-15,4.44E-02,3.11E-15,3.01E-02
193547,2023-12-01 01:00:00 EST,99.69,101.1,25,9,72,0.5,5.1,ERROR,24100,8,0,5.4,4.8,2.30E-15,3.67E-02,1.35E-15,4.98E-02
193607,2023-12-01 02:00:00 EST,99.76,101.17,23,10,73,1,5.5,ERROR,24100,8,0,5.9,5,1.80E-15,4.17E-02,4.76E-16,9.54E-02
193667,2023-12-01 03:00:00 EST,99.81,101.22,26,10,72,1.2,5.8,ERROR,24100,8,0,5.9,5.3,9.54E-16,6.32E-02,3.39E-16,1.13E-01
193727,2023-12-01 04:00:00 EST,99.84,101.25,21,5,74,1.2,5.4,ERROR,24100,8,0,5.8,5.1,1.60E-15,4.44E-02,4.16E-16,1.11E-01
193787,2023-12-01 05:00:00 EST,99.89,101.3,36,2,79,1.2,4.7,ERROR,24100,8,0,5.5,3.8,1.87E-15,4.10E-02,2.75E-16,1.36E-01
193847,2023-12-01 06:00:00 EST,99.93,101.34,22,3,80,0.9,4,ERROR,24100,8,0,5.2,3.4,2.32E-15,3.58E-02,3.60E-16,1.15E-01
193907,2023-12-01 07:00:00 EST,100.02,101.44,36,1,80,1.2,4.4,ERROR,24100,7,0,5.7,3.2,2.17E-15,3.72E-02,3.87E-16,1.08E-01
193967,2023-12-01 08:00:00 EST,100.11,101.53,24,7,82,1.1,3.9,ERROR,24100,6,27,4.5,3.3,1.46E-15,5.43E-02,1.65E-16,1.81E-01
194027,2023-12-01 09:00:00 EST,100.18,101.6,23,10,77,2,5.7,ERROR,24100,6,212,5.7,3.1,2.11E-15,4.26E-02,1.71E-16,1.76E-01
