,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2 Future,R0 Future
148127,2023-10-30 13:00:00 EDT,99.72,101.13,28,10,94,1.1,2,ERROR,24100,8,409,2,1.6,1.68E-15,4.39E-02,2.45E-15,3.48E-02
148187,2023-10-30 14:00:00 EDT,99.66,101.07,27,13,93,1.8,2.9,ERROR,24100,8,466,2.9,2,1.47E-15,4.90E-02,1.94E-15,3.97E-02
148247,2023-10-30 15:00:00 EDT,99.65,101.07,29,14,89,1.8,3.5,ERROR,24100,7,548,3.5,2.8,6.69E-16,7.54E-02,1.45E-15,4.68E-02
148307,2023-10-30 16:00:00 EDT,99.69,101.11,27,15,83,1.4,4,ERROR,24100,8,209,4,3.5,2.50E-16,1.52E-01,1.16E-15,5.38E-02
148367,2023-10-30 17:00:00 EDT,99.76,101.18,26,14,85,1.7,3.9,ERROR,24100,7,144,4,3.8,3.28E-16,1.22E-01,1.09E-15,5.57E-02
148427,2023-10-30 18:00:00 EDT,99.86,101.28,27,17,77,-0.4,3.3,ERROR,24100,7,83,3.9,3.3,8.06E-16,7.36E-02,1.24E-15,5.18E-02
148487,2023-10-30 19:00:00 EDT,99.95,101.37,30,18,81,-1.1,1.9,ERROR,24100,3,0,3.6,1.6,1.93E-15,4.07E-02,9.73E-16,6.18E-02
148547,2023-10-30 20:00:00 EDT,100.02,101.45,31,17,78,-2.4,1.1,ERROR,24100,1,0,2,0.4,2.29E-15,3.58E-02,2.41E-15,3.92E-02
148607,2023-10-30 21:00:00 EDT,100.11,101.54,31,12,82,-2.8,-0.1,-4,24100,1,0,1.2,-0.3,1.07E-15,5.73E-02,7.14E-15,1.83E-02
148667,2023-10-30 22:00:00 EDT,100.16,101.59,25,12,93,-1.6,-0.5,-4,24100,7,0,0.8,-0.6,1.28E-15,5.43E-02,1.11E-14,1.38E-02
148727,2023-10-30 23:00:00 EDT,100.23,101.66,28,11,84,-2.3,0.1,ERROR,24100,3,0,0.3,-0.5,1.67E-15,4.36E-02,1.33E-14,1.24E-02
148787,2023-10-31 00:00:00 EDT,100.29,101.72,27,13,89,-2.6,-1,-5,24100,1,0,0.2,-1.2,1.59E-15,4.53E-02,1.17E-14,1.35E-02
