,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2-R0 Future
89267,2023-09-19 16:00:00 EDT,99.97,101.35,30,26,58,10,18.3,ERROR,24100,7,798,20.2,18.3,4.76E-16,1.05E-01,2023-09-20 16:00:00 EDT
89327,2023-09-19 17:00:00 EDT,100.02,101.4,27,22,57,9.9,18.4,ERROR,24100,6,644,18.5,18.1,5.09E-16,9.28E-02,5.50E-15
89387,2023-09-19 18:00:00 EDT,100.07,101.45,28,21,58,9.6,17.9,ERROR,24100,6,482,18.7,17.8,1.10E-15,5.78E-02,2.36E-02
89447,2023-09-19 19:00:00 EDT,100.14,101.53,27,18,63,9.1,16.1,ERROR,24100,4,146,18.1,16.1,1.23E-15,5.20E-02,
89507,2023-09-19 20:00:00 EDT,100.2,101.59,27,13,68,8.6,14.2,ERROR,24100,2,0,16.2,14.2,1.61E-15,4.40E-02,
89567,2023-09-19 21:00:00 EDT,100.28,101.67,26,13,77,8.4,12.3,ERROR,24100,1,0,14.3,12.3,2.09E-15,3.77E-02,
89627,2023-09-19 22:00:00 EDT,100.3,101.69,27,16,77,8.2,12,ERROR,24100,1,0,12.6,11.9,1.58E-15,4.47E-02,
89687,2023-09-19 23:00:00 EDT,100.37,101.76,27,14,77,7.8,11.7,ERROR,24100,0,0,12.4,11.7,2.50E-15,3.49E-02,
89747,2023-09-20 00:00:00 EDT,100.41,101.8,29,12,79,8.1,11.6,ERROR,24100,0,0,12.2,11.6,1.75E-15,4.26E-02,
89807,2023-09-20 01:00:00 EDT,100.44,101.84,27,9,91,7.7,8.9,ERROR,24100,0,0,11.8,8.8,2.26E-15,3.61E-02,
89867,2023-09-20 02:00:00 EDT,100.47,101.87,26,13,91,7.4,8.8,ERROR,24100,0,0,9.3,8.7,2.02E-15,3.87E-02,
89927,2023-09-20 03:00:00 EDT,100.48,101.88,26,10,95,6.3,7.1,ERROR,24100,0,0,9.1,7.1,2.36E-15,3.53E-02,
89987,2023-09-20 04:00:00 EDT,100.5,101.9,28,10,95,5.8,6.6,ERROR,24100,0,0,7.7,6.6,2.22E-15,3.65E-02,
90047,2023-09-20 05:00:00 EDT,100.55,101.95,28,14,98,7.1,7.3,ERROR,24100,0,0,8.2,6.6,2.01E-15,3.87E-02,
90107,2023-09-20 06:00:00 EDT,100.57,101.97,27,13,99,7,7.1,ERROR,24100,2,0,7.8,6.5,1.52E-15,4.92E-02,
90167,2023-09-20 07:00:00 EDT,100.63,102.03,28,14,99,7.1,7.2,ERROR,24100,1,1,7.3,6.2,1.90E-15,4.69E-02,
90227,2023-09-20 08:00:00 EDT,100.68,102.08,27,13,97,7.9,8.4,ERROR,24100,3,283,8.4,6.8,6.59E-15,1.91E-02,
90287,2023-09-20 09:00:00 EDT,100.7,102.1,29,11,85,7.6,10,ERROR,24100,2,936,10.1,8.4,9.81E-15,1.49E-02,
90347,2023-09-20 10:00:00 EDT,100.75,102.15,28,8,76,7.9,12,ERROR,24100,2,1551,12.3,10.1,1.22E-14,1.30E-02,
90407,2023-09-20 11:00:00 EDT,100.78,102.18,26,7,68,8.1,13.9,ERROR,24100,6,1961,14.1,12.1,1.27E-14,1.28E-02,
90467,2023-09-20 12:00:00 EDT,100.77,102.17,28,11,58,8.2,16.4,ERROR,24100,4,2570,16.4,13.9,1.39E-14,1.20E-02,
90527,2023-09-20 13:00:00 EDT,100.76,102.16,27,10,51,6.5,16.6,ERROR,24100,4,2760,17.6,16.3,1.31E-14,1.26E-02,
90587,2023-09-20 14:00:00 EDT,100.76,102.16,35,9,48,7,18,ERROR,24100,4,2275,18.4,16.6,1.20E-14,1.32E-02,
90647,2023-09-20 15:00:00 EDT,100.73,102.13,29,14,45,6.4,18.4,ERROR,24100,3,2649,18.6,17.1,1.01E-14,1.53E-02,
