,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2-R0 Future
200627,2023-12-05 23:00:00 EST,100.51,101.96,4,15,93,-6.7,-5.7,-11,9700,8,0,-5.2,-5.7,1.10E-15,6.93E-02,2023-12-06 11:00:00 EST
200687,2023-12-06 00:00:00 EST,100.51,101.96,4,9,93,-6.8,-5.8,-10,16100,8,0,-5.7,-5.9,2.68E-15,4.12E-02,4.27E-15
200747,2023-12-06 01:00:00 EST,100.5,101.95,4,10,93,-7.2,-6.2,-11,16100,8,0,-5.8,-6.2,5.02E-15,2.72E-02,2.87E-02
200807,2023-12-06 02:00:00 EST,100.5,101.95,3,13,91,-7.6,-6.3,-12,16100,8,0,-6.2,-6.3,6.38E-15,2.36E-02,
200867,2023-12-06 03:00:00 EST,100.51,101.96,0,11,92,-7.7,-6.6,-12,16100,8,0,-6.3,-6.6,4.84E-15,3.58E-02,
200927,2023-12-06 04:00:00 EST,100.48,101.93,35,8,92,-8.1,-7,-11,16100,8,0,-6.6,-7,9.41E-15,2.05E-02,
200987,2023-12-06 05:00:00 EST,100.48,101.93,33,12,92,-8.7,-7.6,-13,9700,8,0,-6.9,-7.6,1.16E-14,1.63E-02,
201047,2023-12-06 06:00:00 EST,100.52,101.98,35,14,91,-9.8,-8.6,-15,6400,8,0,-6.9,-8.6,1.20E-14,1.67E-02,
201107,2023-12-06 07:00:00 EST,100.57,102.03,34,13,84,-12.1,-9.9,-16,16100,7,0,-7.7,-9.9,1.03E-14,1.51E-02,
201167,2023-12-06 08:00:00 EST,100.61,102.08,32,16,84,-14.3,-12.1,-20,24100,8,27,-9.8,-12.2,8.09E-15,2.09E-02,
201227,2023-12-06 09:00:00 EST,100.65,102.12,33,12,82,-14.4,-11.9,-18,24100,1,132,-10.7,-12.4,1.17E-14,1.33E-02,
201287,2023-12-06 10:00:00 EST,100.67,102.14,31,18,78,-14.1,-11.1,-19,24100,1,524,-11.1,-11.9,1.00E-14,1.57E-02,
