,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2-R0 Future
259487,2024-01-15 20:00:00 EST,100.48,101.95,19,5,55,-18.7,-11.4,-15,24100,3,0,-10.4,-11.5,1.90E-15,4.11E-02,2024-01-16 08:00:00 EST
259547,2024-01-15 21:00:00 EST,100.5,101.97,20,10,58,-18.7,-12.1,-18,24100,5,0,-11.4,-12.3,2.91E-15,3.30E-02,1.05E-15
259607,2024-01-15 22:00:00 EST,100.5,101.97,21,8,60,-17.8,-11.4,-16,24100,7,0,-11.4,-12,2.71E-15,3.85E-02,5.44E-02
259667,2024-01-15 23:00:00 EST,100.53,102,23,12,60,-17.1,-10.8,-17,24100,7,0,-10.8,-11.5,5.05E-16,1.15E-01,
259727,2024-01-16 00:00:00 EST,100.5,101.97,21,9,62,-16.9,-10.9,-16,24100,8,0,-10.7,-10.9,9.21E-17,2.58E-01,
259787,2024-01-16 01:00:00 EST,100.47,101.94,17,9,65,-16.8,-11.4,-17,24100,8,0,-10.7,-11.4,1.50E-16,1.87E-01,
259847,2024-01-16 02:00:00 EST,100.45,101.92,18,9,66,-16.5,-11.3,-16,24100,8,0,-11.3,-11.4,1.12E-16,2.22E-01,
259907,2024-01-16 03:00:00 EST,100.42,101.88,17,8,66,-16.3,-11.2,-16,24100,8,0,-11.1,-11.4,8.60E-17,2.60E-01,
259967,2024-01-16 04:00:00 EST,100.34,101.8,15,10,70,-15.8,-11.3,-17,24100,8,0,-11,-11.3,2.13E-16,1.55E-01,
260027,2024-01-16 05:00:00 EST,100.27,101.74,14,9,73,-15.4,-11.5,-17,24100,8,0,-11.3,-11.6,2.44E-16,1.39E-01,
260087,2024-01-16 06:00:00 EST,100.22,101.69,15,10,73,-14.7,-10.8,-16,24100,8,0,-10.7,-11.5,5.01E-16,1.01E-01,
260147,2024-01-16 07:00:00 EST,100.2,101.67,15,11,75,-14.4,-10.8,-17,24100,8,0,-10.7,-10.9,9.43E-16,5.99E-02,
