,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,,,,,,CN2-R0 Future
159167,2023-11-07 04:00:00 EST,98.52,99.91,19,14,89,7.7,9.4,ERROR,12900,8,0,11,9.2,2.02E-15,4.56E-02,2023-11-07 16:00:00 EST,,,,,
159227,2023-11-07 05:00:00 EST,98.53,99.92,19,13,94,8.5,9.4,ERROR,9700,7,0,9.7,9.2,1.71E-15,4.69E-02,6.38E-16,,,,,
159287,2023-11-07 06:00:00 EST,98.47,99.86,19,19,99,9.5,9.6,ERROR,8100,8,0,9.7,9.3,1.24E-15,5.22E-02,7.74E-02,,,,,
159347,2023-11-07 07:00:00 EST,98.48,99.87,20,18,99,9.7,9.9,ERROR,9700,8,0,10,9.7,9.86E-16,7.61E-02,,,,,,
159407,2023-11-07 08:00:00 EST,98.57,99.96,23,22,96,9.5,10.1,ERROR,12900,8,18,10.1,9.9,2.28E-16,1.47E-01,,,,,,
159467,2023-11-07 09:00:00 EST,98.7,100.09,28,25,94,8.4,9.3,ERROR,9700,8,182,10.2,9.3,3.68E-16,1.18E-01,,,,,,
159527,2023-11-07 10:00:00 EST,98.83,100.22,29,31,89,6.6,8.3,ERROR,24100,8,384,9.5,8.3,1.25E-15,5.18E-02,,,,,,
159587,2023-11-07 11:00:00 EST,98.96,100.35,28,35,82,3.6,6.4,ERROR,24100,8,563,8.3,6.3,1.64E-15,4.60E-02,,,,,,
159647,2023-11-07 12:00:00 EST,99.09,100.48,30,29,79,2.2,5.6,ERROR,24100,8,447,6.7,5.6,2.37E-15,3.68E-02,,,,,,
159707,2023-11-07 13:00:00 EST,99.19,100.58,29,21,75,1.2,5.2,ERROR,24100,8,780,5.8,5.1,2.25E-15,3.72E-02,,,,,,
159767,2023-11-07 14:00:00 EST,99.31,100.7,29,37,69,-0.3,4.8,ERROR,24100,8,782,5.5,4.8,1.37E-15,5.00E-02,,,,,,
159827,2023-11-07 15:00:00 EST,99.47,100.87,28,39,74,-0.8,3.4,ERROR,24100,7,807,5,3.4,7.49E-16,7.24E-02,,,,,,
