,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2-R0 Future
112307,2023-10-05 16:00:00 EDT,100.16,101.53,17,15,50,15.4,26.4,ERROR,24100,8,1131,27,26.2,4.29E-16,9.85E-02,2023-10-06 04:00:00 EDT
112367,2023-10-05 17:00:00 EDT,100.11,101.48,17,20,52,15.1,25.6,ERROR,24100,7,509,26.5,25.6,9.98E-16,6.02E-02,6.17E-16
112427,2023-10-05 18:00:00 EDT,100.09,101.46,17,9,59,15.4,23.8,ERROR,24100,7,172,25.6,23.8,1.85E-15,4.04E-02,8.04E-02
112487,2023-10-05 19:00:00 EDT,100.1,101.47,15,9,63,15.1,22.5,ERROR,24100,7,14,23.7,22.5,2.51E-15,3.47E-02,
112547,2023-10-05 20:00:00 EDT,100.08,101.45,16,8,69,15.3,21.3,ERROR,24100,7,0,22.6,20.9,4.16E-15,2.64E-02,
112607,2023-10-05 21:00:00 EDT,100.06,101.43,16,10,63,14.1,21.4,ERROR,24100,7,0,21.5,20.6,7.06E-15,1.84E-02,
112667,2023-10-05 22:00:00 EDT,100.02,101.39,16,12,53,11.5,21.3,ERROR,24100,8,0,21.4,20.9,2.20E-15,3.95E-02,
112727,2023-10-05 23:00:00 EDT,99.98,101.34,17,22,56,12.8,22,ERROR,24100,8,0,22,21,8.38E-16,6.73E-02,
112787,2023-10-06 00:00:00 EDT,99.96,101.32,18,19,57,12.6,21.4,ERROR,24100,8,0,22.1,21.4,8.02E-16,6.70E-02,
112847,2023-10-06 01:00:00 EDT,99.91,101.27,17,20,62,13.1,20.5,ERROR,24100,8,0,20.5,20.5,8.68E-16,6.41E-02,
112907,2023-10-06 02:00:00 EDT,99.86,101.22,17,21,67,13.9,20,ERROR,24100,8,0,20.5,19.9,7.23E-16,7.21E-02,
112967,2023-10-06 03:00:00 EDT,99.83,101.19,18,20,68,13.9,19.9,ERROR,24100,8,0,20.2,19.9,3.04E-16,1.25E-01,
