,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2-R0 Future
270287,2024-01-23 08:00:00 EST,101.64,103.1,25,8,92,-3.4,-2.3,-5,16100,8,27,-2,-2.4,4.45E-16,1.05E-01,2024-01-23 20:00:00 EST
270347,2024-01-23 09:00:00 EST,101.71,103.17,27,6,89,-3.6,-2.1,-4,16100,8,217,-2,-2.4,7.06E-16,7.91E-02,3.40E-16
270407,2024-01-23 10:00:00 EST,101.84,103.3,1,21,77,-5.6,-2.1,-8,24100,8,241,-1.5,-2.3,2.03E-15,3.86E-02,1.15E-01
270467,2024-01-23 11:00:00 EST,101.94,103.4,36,19,69,-7.7,-2.8,-9,24100,8,545,-2.1,-2.8,2.60E-15,3.32E-02,
270527,2024-01-23 12:00:00 EST,101.9,103.36,2,18,65,-8.6,-2.9,-9,24100,8,659,-2.7,-3,3.24E-15,2.90E-02,
270587,2024-01-23 13:00:00 EST,101.92,103.38,3,19,64,-8.7,-2.8,-9,24100,8,887,-2.7,-2.9,2.48E-15,3.41E-02,
270647,2024-01-23 14:00:00 EST,101.9,103.36,0,16,60,-9.6,-2.9,-8,24100,8,754,-2.7,-2.9,1.46E-15,4.70E-02,
270707,2024-01-23 15:00:00 EST,101.95,103.41,36,9,61,-9.6,-3,-7,24100,7,428,-2.9,-3.1,8.46E-16,6.65E-02,
270767,2024-01-23 16:00:00 EST,101.97,103.43,0,9,60,-9.8,-3.2,-7,24100,7,166,-3,-3.2,4.56E-16,9.64E-02,
270827,2024-01-23 17:00:00 EST,101.99,103.46,0,11,61,-9.9,-3.3,-8,24100,7,42,-3.1,-3.4,3.59E-16,1.12E-01,
270887,2024-01-23 18:00:00 EST,102.06,103.53,5,12,62,-10.1,-3.9,-9,24100,7,0,-3.3,-3.9,2.51E-16,1.38E-01,
270947,2024-01-23 19:00:00 EST,102.08,103.55,5,18,58,-11.5,-4.4,-10,24100,8,0,-3.8,-4.5,1.72E-16,1.94E-01,
