,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2-R0 Future
18587,2023-08-01 14:00:00 EDT,100.84,102.23,33,6,52,10.3,20.4,ERROR,24100,6,2082,20.6,19.1,1.18E-14,1.35E-02,2023-08-02 02:00:00 EDT
18647,2023-08-01 15:00:00 EDT,100.81,102.2,27,13,47,9.9,21.4,ERROR,24100,4,3351,21.5,19.7,7.02E-15,2.12E-02,3.02E-15
18707,2023-08-01 16:00:00 EDT,100.79,102.18,28,16,45,9.7,21.8,ERROR,24100,4,2861,22.2,21.3,7.96E-15,1.97E-02,3.16E-02
18767,2023-08-01 17:00:00 EDT,100.76,102.15,29,13,46,10,22.1,ERROR,24100,4,2145,22.2,21,4.35E-15,2.61E-02,
18827,2023-08-01 18:00:00 EDT,100.77,102.16,25,14,50,10.5,21.1,ERROR,24100,6,1571,22.4,20.6,2.95E-15,3.28E-02,
18887,2023-08-01 19:00:00 EDT,100.76,102.15,29,16,47,9.2,20.6,ERROR,24100,4,1049,21.3,20,6.77E-16,7.73E-02,
18947,2023-08-01 20:00:00 EDT,100.8,102.19,31,10,55,9.7,18.9,ERROR,24100,3,357,20.7,18.9,4.91E-16,9.33E-02,
19007,2023-08-01 21:00:00 EDT,100.85,102.24,24,7,60,9.5,17.3,ERROR,24100,2,16,19,15.3,9.63E-16,6.51E-02,
19067,2023-08-01 22:00:00 EDT,100.9,102.29,36,2,68,9.3,15.2,ERROR,24100,0,0,17.5,13.8,1.90E-15,4.04E-02,
19127,2023-08-01 23:00:00 EDT,100.9,102.29,20,4,64,8.8,15.5,ERROR,24100,0,0,17.5,14.1,1.79E-15,4.16E-02,
19187,2023-08-02 00:00:00 EDT,100.91,102.3,18,3,73,9,13.7,ERROR,24100,0,0,15.7,12.4,1.41E-15,4.81E-02,
19247,2023-08-02 01:00:00 EDT,100.9,102.3,14,4,82,8.3,11.2,ERROR,24100,0,0,13.8,11.2,1.42E-15,4.92E-02,
