,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2 Future,R0 Future
11267,2023-07-27 12:00:00 EDT,99.64,101,3,26,93,20.4,21.6,ERROR,16100,7,1483,21.6,19.7,1.16E-14,1.36E-02,9.57E-16,6.18E-02
11327,2023-07-27 13:00:00 EDT,99.67,101.03,1,14,83,20.1,23.2,ERROR,24100,7,2215,23.5,19.9,1.32E-14,1.24E-02,8.04E-16,6.73E-02
11387,2023-07-27 14:00:00 EDT,99.7,101.06,4,9,71,19.5,25,ERROR,24100,5,3244,25.3,23.2,1.17E-14,1.34E-02,1.01E-15,6.24E-02
11447,2023-07-27 15:00:00 EDT,99.71,101.07,31,6,66,19.4,26.1,ERROR,24100,5,2699,26.3,24.9,9.23E-15,1.55E-02,2.93E-15,3.15E-02
11507,2023-07-27 16:00:00 EDT,99.72,101.08,22,9,68,20.8,27.1,ERROR,24100,4,2650,27.2,25.9,7.89E-15,1.70E-02,1.35E-15,5.27E-02
11567,2023-07-27 17:00:00 EDT,99.7,101.06,27,11,64,20.7,28,ERROR,24100,4,2116,28.2,27.2,4.79E-15,2.32E-02,1.43E-15,5.03E-02
11627,2023-07-27 18:00:00 EDT,99.71,101.07,32,13,67,20.8,27.2,ERROR,24100,2,1385,28.2,26.8,1.97E-15,4.16E-02,8.14E-16,7.38E-02
11687,2023-07-27 19:00:00 EDT,99.74,101.1,29,16,65,19.7,26.6,ERROR,24100,2,819,27.4,26.6,6.83E-16,7.43E-02,2.60E-15,3.44E-02
11747,2023-07-27 20:00:00 EDT,99.78,101.14,25,7,78,20.6,24.6,ERROR,24100,0,344,26.6,24.5,1.17E-15,5.43E-02,6.13E-15,2.04E-02
11807,2023-07-27 21:00:00 EDT,99.84,101.21,23,10,80,20.1,23.7,ERROR,24100,0,28,24.5,23,1.92E-15,4.02E-02,8.45E-15,1.65E-02
11867,2023-07-27 22:00:00 EDT,99.88,101.25,20,9,85,20.1,22.6,ERROR,24100,0,0,23.9,21.8,2.48E-15,3.43E-02,6.71E-15,2.23E-02
11927,2023-07-27 23:00:00 EDT,99.9,101.27,20,10,88,19.9,21.9,ERROR,24100,0,0,22.8,21.9,2.04E-15,3.91E-02,2.17E-15,5.30E-02
