,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2-R0 Future
240467,2024-01-02 15:00:00 EST,99.92,101.36,21,19,65,-5.9,0,-5,24100,2,808,0.6,-0.4,3.39E-16,1.71E-01,2024-01-03 14:00:00 EST
240527,2024-01-02 16:00:00 EST,99.88,101.32,21,17,67,-6,-0.6,-6,24100,1,414,0,-0.6,6.85E-16,7.41E-02,3.05E-16
240587,2024-01-02 17:00:00 EST,99.9,101.34,21,14,72,-6.1,-1.7,-6,24100,1,16,-0.6,-1.7,7.39E-16,7.03E-02,1.38E-01
240647,2024-01-02 18:00:00 EST,99.89,101.33,21,18,75,-5.9,-2,-7,24100,1,0,-1.6,-2.1,5.14E-16,8.92E-02,
240707,2024-01-02 19:00:00 EST,99.93,101.37,22,19,75,-5.6,-1.8,-7,24100,6,0,-1.8,-2.3,3.08E-16,1.22E-01,
240767,2024-01-02 20:00:00 EST,99.93,101.36,21,19,71,-5.5,-0.9,-6,24100,8,0,-0.8,-1.7,1.46E-16,1.97E-01,
240827,2024-01-02 21:00:00 EST,99.92,101.35,20,16,70,-5.5,-0.7,-5,24100,8,0,-0.7,-0.8,1.29E-16,2.20E-01,
240887,2024-01-02 22:00:00 EST,99.86,101.29,19,20,71,-5.3,-0.6,-6,24100,8,0,-0.6,-0.7,2.38E-16,1.76E-01,
240947,2024-01-02 23:00:00 EST,99.87,101.3,19,21,71,-5.1,-0.5,-6,24100,8,0,-0.5,-0.7,1.17E-16,2.44E-01,
241007,2024-01-03 00:00:00 EST,99.85,101.28,21,18,71,-5,-0.3,-5,24100,8,0,-0.3,-0.5,1.61E-16,1.80E-01,
241067,2024-01-03 01:00:00 EST,99.84,101.27,21,14,72,-4.7,-0.3,-5,24100,8,0,-0.2,-0.3,1.34E-16,1.97E-01,
241127,2024-01-03 02:00:00 EST,99.82,101.25,21,14,74,-4.3,-0.2,-4,24100,8,0,-0.2,-0.3,7.21E-17,3.14E-01,
