Index,Date/Time (LST),Year,Month,Day,Time (LST),Temp (°C),Dew Point Temp (°C),Rel Hum (%),Precip. Amount (mm),Wind Dir (10s deg),Wind Spd (km/h),Stn Press (kPa)
47,7/19/2023 17:00,2023,7,19,17:00,25.3,13.2,47,0,27,12,100.7
107,7/19/2023 18:00,2023,7,19,18:00,24.7,13,48,0,32,10,100.67
167,7/19/2023 19:00,2023,7,19,19:00,24.1,12.6,49,0,30,8,100.68
227,7/19/2023 20:00,2023,7,19,20:00,20.4,16.1,76,0,30,1,100.68
287,7/19/2023 21:00,2023,7,19,21:00,18,15.2,83,0,0,1,100.72
347,7/19/2023 22:00,2023,7,19,22:00,17.8,14.9,83,0,34,2,100.75
407,7/19/2023 23:00,2023,7,19,23:00,18.9,15.6,81,0,19,2,100.76
467,7/20/2023 0:00,2023,7,20,0:00,18.3,16.4,89,0,19,2,100.76
527,7/20/2023 1:00,2023,7,20,1:00,16.9,15,89,0,17,2,100.75
587,7/20/2023 2:00,2023,7,20,2:00,16,14.6,92,0,ERROR,0,100.72
647,7/20/2023 3:00,2023,7,20,3:00,16.4,15.1,92,0,19,6,100.71
707,7/20/2023 4:00,2023,7,20,4:00,16.3,15.1,93,0,19,2,100.71
767,7/20/2023 5:00,2023,7,20,5:00,15.5,14.4,93,0,19,2,100.69
827,7/20/2023 6:00,2023,7,20,6:00,17.2,15.6,91,0,0,1,100.7
887,7/20/2023 7:00,2023,7,20,7:00,18.8,15.9,83,0,19,2,100.71
947,7/20/2023 8:00,2023,7,20,8:00,21.1,16.2,74,0,ERROR,0,100.69
1007,7/20/2023 9:00,2023,7,20,9:00,22.8,16.5,68,0,ERROR,0,100.63
1067,7/20/2023 10:00,2023,7,20,10:00,24.4,16.6,62,0,20,9,100.58
1127,7/20/2023 11:00,2023,7,20,11:00,25,17.4,63,0,18,13,100.52
1187,7/20/2023 12:00,2023,7,20,12:00,26.1,14.9,50,0,19,13,100.45
1247,7/20/2023 13:00,2023,7,20,13:00,25.5,16.1,56,0,17,19,100.38
1307,7/20/2023 14:00,2023,7,20,14:00,25.6,15.2,53,0,18,15,100.33
1367,7/20/2023 15:00,2023,7,20,15:00,26.3,15.1,50,0,16,14,100.28
1427,7/20/2023 16:00,2023,7,20,16:00,25.8,14.6,50,0,19,20,100.24
1487,7/20/2023 17:00,2023,7,20,17:00,25.6,13.3,47,0,18,9,100.13
1547,7/20/2023 18:00,2023,7,20,18:00,25.5,14.2,50,0,14,7,100.06
1607,7/20/2023 19:00,2023,7,20,19:00,24.8,14.1,52,0,14,9,100.03
1667,7/20/2023 20:00,2023,7,20,20:00,23.2,14.9,60,0,13,8,99.95
1727,7/20/2023 21:00,2023,7,20,21:00,22.2,15.2,64,0,12,7,99.98
